,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,4/19/2021,ARKK,TESLA INC,TSLA,88160R101,3628090.0,2683988420.2,10.77
1,1,4/19/2021,ARKK,SQUARE INC - A,SQ,852234103,6187690.0,1584667409.0,6.36
2,2,4/19/2021,ARKK,TELADOC HEALTH INC,TDOC,87918A105,8190733.0,1557058343.3,6.25
3,3,4/19/2021,ARKK,ROKU INC,ROKU,77543R102,3939052.0,1483131859.04,5.95
4,4,4/19/2021,ARKK,ZILLOW GROUP INC - C,Z,98954M200,6684069.0,899742528.09,3.61
5,5,4/19/2021,ARKK,ZOOM VIDEO COMMUNICATIONS-A,ZM,98980L101,2562316.0,845436164.2,3.39
6,6,4/19/2021,ARKK,SHOPIFY INC - CLASS A,SHOP,82509L107,669561.0,808695775.8,3.25
7,7,4/19/2021,ARKK,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,2752636.0,803824764.72,3.23
8,8,4/19/2021,ARKK,BAIDU INC - SPON ADR,BIDU,056752108,3575562.0,763597020.72,3.06
9,9,4/19/2021,ARKK,EXACT SCIENCES CORP,EXAS,30063P105,5508596.0,716337823.84,2.88
10,10,4/19/2021,ARKK,TWILIO INC - A,TWLO,90138F102,1826669.0,703705965.56,2.82
11,11,4/19/2021,ARKK,UNITY SOFTWARE INC,U,91332U101,6384477.0,643172212.98,2.58
12,12,4/19/2021,ARKK,CRISPR THERAPEUTICS AG,CRSP,H17182108,5208376.0,617505058.56,2.48
13,13,4/19/2021,ARKK,DOCUSIGN INC,DOCU,256163106,2464380.0,571563653.4,2.29
14,14,4/19/2021,ARKK,INVITAE CORP,NVTA,46185L103,14977351.0,563747491.64,2.26
15,15,4/19/2021,ARKK,10X GENOMICS INC-CLASS A,TXG,88025U109,2394289.0,464731494.9,1.87
16,16,4/19/2021,ARKK,SEA LTD-ADR,SE,81141R100,1625478.0,410303156.76,1.65
17,17,4/19/2021,ARKK,INTELLIA THERAPEUTICS INC,NTLA,45826J105,5539711.0,390272639.95,1.57
18,18,4/19/2021,ARKK,NINTENDO CO LTD-UNSPONS ADR,NTDOY,654445303,4986962.0,373274105.7,1.5
19,19,4/19/2021,ARKK,TWIST BIOSCIENCE CORP,TWST,90184D100,2707413.0,366150534.12,1.47
20,20,4/19/2021,ARKK,PURE STORAGE INC - CLASS A,PSTG,74624M102,16895924.0,364107162.2,1.46
21,21,4/19/2021,ARKK,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,11906284.0,358855399.76,1.44
22,22,4/19/2021,ARKK,KE HOLDINGS INC,BEKE,482497104,6532016.0,336594784.48,1.35
23,23,4/19/2021,ARKK,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,14384008.0,323208659.76,1.3
24,24,4/19/2021,ARKK,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,7932237.0,323714591.97,1.3
25,25,4/19/2021,ARKK,TWITTER INC,TWTR,90184L102,4543050.0,318558666.0,1.28
26,26,4/19/2021,ARKK,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,905923.0,309825666.0,1.24
27,27,4/19/2021,ARKK,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,2479488.0,299348586.24,1.2
28,28,4/19/2021,ARKK,PROTO LABS INC,PRLB,743713109,2667827.0,287191576.55,1.15
29,29,4/19/2021,ARKK,BEAM THERAPEUTICS INC,BEAM,07373V105,3798351.0,276102134.19,1.11
30,30,4/19/2021,ARKK,PAGERDUTY INC,PD,69553P100,6479947.0,273972159.16,1.1
31,31,4/19/2021,ARKK,2U INC,TWOU,90214J101,6911191.0,275134513.71,1.1
32,32,4/19/2021,ARKK,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,3366938.0,272721978.0,1.09
33,33,4/19/2021,ARKK,FATE THERAPEUTICS INC,FATE,31189P102,3259013.0,264534085.21,1.06
34,34,4/19/2021,ARKK,SYNOPSYS INC,SNPS,871607107,984032.0,256606024.64,1.03
35,35,4/19/2021,ARKK,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,2813447.0,247639604.94,0.99
36,36,4/19/2021,ARKK,LENDINGTREE INC,TREE UW,52603B107,989222.0,229776486.16,0.92
37,37,4/19/2021,ARKK,TERADYNE INC,TER,880770102,1750128.0,226606573.44,0.91
38,38,4/19/2021,ARKK,PACCAR INC,PCAR,693718108,2222251.0,210936064.92,0.85
39,39,4/19/2021,ARKK,DRAFTKINGS INC - CL A,DKNG,26142R104,3440792.0,199497120.16,0.8
40,40,4/19/2021,ARKK,VERACYTE INC,VCYT,92337F107,4153780.0,200087582.6,0.8
41,41,4/19/2021,ARKK,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,6226405.0,196318549.65,0.79
42,42,4/19/2021,ARKK,EDITAS MEDICINE INC,EDIT,28106W103,5710378.0,197978805.26,0.79
43,43,4/19/2021,ARKK,MATERIALISE NV-ADR,MTLS,57667T100,4948510.0,162014217.4,0.65
44,44,4/19/2021,ARKK,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,2000179.0,146023067.9,0.59
45,45,4/19/2021,ARKK,SERES THERAPEUTICS INC,MCRB,81750R102,6896228.0,142958806.44,0.57
46,46,4/19/2021,ARKK,STRATASYS LTD,SSYS,M85548101,5555287.0,125771697.68,0.5
47,47,4/19/2021,ARKK,TRIMBLE INC,TRMB,896239100,1491915.0,122292272.55,0.49
48,48,4/19/2021,ARKK,REGENERON PHARMACEUTICALS,REGN,75886F107,226575.0,113876595.0,0.46
49,49,4/19/2021,ARKK,BERKELEY LIGHTS INC,BLI,084310101,2359989.0,113114272.77,0.45
50,50,4/19/2021,ARKK,HUYA INC-ADR,HUYA,44852D108,5902307.0,107244918.19,0.43
51,51,4/19/2021,ARKK,CERUS CORP,CERS,157085101,16355480.0,101076866.4,0.41
52,52,4/19/2021,ARKK,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,2334701.0,93271304.95,0.37
53,53,4/19/2021,ARKK,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,84308235.97,84308235.97,0.34
54,54,4/19/2021,ARKK,COMPUGEN LTD,CGEN,M25722105,8604888.0,73743890.16,0.3
55,55,4/19/2021,ARKK,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,4338128.0,26983156.16,0.11
