,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,5/10/2021,PRNT,STRAUMANN HOLDING AG-REG,STMN,7156832,19958.0,30506927.9,5.55
1,1,5/10/2021,PRNT,EXONE CO/THE,XONE,302104104,1444310.0,29593911.9,5.38
2,2,5/10/2021,PRNT,HP INC,HPQ,40434L105,800731.0,28482001.67,5.18
3,3,5/10/2021,PRNT,SLM SOLUTIONS GROUP AG,AM3D,BMHTHK2,1230242.0,27453140.78,4.99
4,4,5/10/2021,PRNT,ALTAIR ENGINEERING INC - A,ALTR,021369103,412178.0,27141921.3,4.93
5,5,5/10/2021,PRNT,RENISHAW PLC,RSW,0732358,303548.0,26438723.48,4.81
6,6,5/10/2021,PRNT,DASSAULT SYSTEMES SE,DSY,5330047,110910.0,25444820.89,4.63
7,7,5/10/2021,PRNT,MICROSOFT CORP,MSFT,594918104,97827.0,24697404.42,4.49
8,8,5/10/2021,PRNT,MGI DIGITAL GRAPHIC TECHNOLO,ALMDG,B18FJV7,449978.0,24638028.37,4.48
9,9,5/10/2021,PRNT,3D SYSTEMS CORP,DDD,88554D205,1281102.0,24609969.42,4.47
10,10,5/10/2021,PRNT,TRIMBLE INC,TRMB,896239100,309389.0,24543829.37,4.46
11,11,5/10/2021,PRNT,AUTODESK INC,ADSK,052769106,84936.0,24271311.36,4.41
12,12,5/10/2021,PRNT,PTC INC,PTC,69370C100,172048.0,22565815.68,4.1
13,13,5/10/2021,PRNT,ANSYS INC,ANSS,03662Q105,67775.0,22527054.5,4.1
14,14,5/10/2021,PRNT,STRATASYS LTD,SSYS,M85548101,698477.0,14004463.85,2.55
15,15,5/10/2021,PRNT,DESKTOP METAL INC-A,DM,25058X105,1061349.0,12768028.47,2.32
16,16,5/10/2021,PRNT,PROTO LABS INC,PRLB,743713109,125739.0,12751191.99,2.32
17,17,5/10/2021,PRNT,NANO DIMENSION LTD - ADR,NNDM,63008G203,1876233.0,12514474.11,2.28
18,18,5/10/2021,PRNT,MATERIALISE NV-ADR,MTLS,57667T100,322757.0,8646660.03,1.57
19,19,5/10/2021,PRNT,AMETEK INC,AME,031100100,55630.0,7639667.9,1.39
20,20,5/10/2021,PRNT,ALIGN TECHNOLOGY INC,ALGN,016255101,12195.0,7296756.3,1.33
21,21,5/10/2021,PRNT,HEXAGON AB-B SHS,HEXAB,B1XFTL2,74171.0,7283883.25,1.32
22,22,5/10/2021,PRNT,ARCONIC CORP,ARNC,03966V107,187039.0,6709088.93,1.22
23,23,5/10/2021,PRNT,FARO TECHNOLOGIES INC,FARO,311642102,88631.0,6300777.79,1.15
24,24,5/10/2021,PRNT,UNITED PARCEL SERVICE-CL B,UPS,911312106,28589.0,6218107.5,1.13
25,25,5/10/2021,PRNT,KAISER ALUMINUM CORP,KALU,483007704,45089.0,6136612.9,1.12
26,26,5/10/2021,PRNT,LINCOLN ELECTRIC HOLDINGS,LECO,533900106,41734.0,5588182.6,1.02
27,27,5/10/2021,PRNT,MOOG INC-CLASS A,MOG/A,615394202,59629.0,5366013.71,0.98
28,28,5/10/2021,PRNT,SIEMENS AG-REG,SIE,5727973,30646.0,5379997.66,0.98
29,29,5/10/2021,PRNT,BERTRANDT AG,BDT,5130861,91090.0,5225821.31,0.95
30,30,5/10/2021,PRNT,MICHELIN (CGDE),ML,4588364,34711.0,5224430.8,0.95
31,31,5/10/2021,PRNT,MEDTRONIC PLC,MDT UN,G5960L103,40805.0,5169993.5,0.94
32,32,5/10/2021,PRNT,OC OERLIKON CORP AG-REG,OERL,4612757,442671.0,5154708.1,0.94
33,33,5/10/2021,PRNT,NUVASIVE INC,NUVA,670704105,74470.0,5148855.8,0.94
34,34,5/10/2021,PRNT,STRYKER CORP,SYK,863667101,20006.0,5097128.68,0.93
35,35,5/10/2021,PRNT,GENERAL ELECTRIC CO,GE,369604103,378891.0,5039250.3,0.92
36,36,5/10/2021,PRNT,AEROJET ROCKETDYNE HOLDINGS,AJRD,007800105,106193.0,4991071.0,0.91
37,37,5/10/2021,PRNT,ULTRA CLEAN HOLDINGS INC,UCTT,90385V107,93732.0,4699722.48,0.85
38,38,5/10/2021,PRNT,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,2293500.44,2293500.44,0.42
39,39,5/10/2021,PRNT,EASTMAN CHEMICAL CO,EMN,277432100,6108.0,763316.76,0.14
40,40,5/10/2021,PRNT,DUPONT DE NEMOURS INC,DD,26614N102,9067.0,751200.95,0.14
41,41,5/10/2021,PRNT,ALLEGHENY TECHNOLOGIES INC,ATI,01741R102,31534.0,762176.78,0.14
42,42,5/10/2021,PRNT,EVONIK INDUSTRIES AG,EVK,B5ZQ9D3,19225.0,702697.54,0.13
43,43,5/10/2021,PRNT,HENKEL AG & CO KGAA VORZUG,HEN3,5076705,5997.0,699915.12,0.13
44,44,5/10/2021,PRNT,ARKEMA,AKE,B0Z5YZ2,5583.0,735016.43,0.13
45,45,5/10/2021,PRNT,KONINKLIJKE DSM NV,DSM,B0HZL93,3931.0,728219.83,0.13
46,46,5/10/2021,PRNT,XEROX HOLDINGS CORP,XRX UN,98421M106,28252.0,691326.44,0.13
47,47,5/10/2021,PRNT,EASTMAN KODAK CO,KODK,277461406,96267.0,700823.76,0.13
48,48,5/10/2021,PRNT,VOESTALPINE AG,VOE,4943402,15868.0,735612.88,0.13
49,49,5/10/2021,PRNT,TORAY INDUSTRIES INC,3402,6897143,110908.0,718246.74,0.13
50,50,5/10/2021,PRNT,3M CO,MMM,88579Y101,3441.0,698763.87,0.13
51,51,5/10/2021,PRNT,SGL CARBON SE,SGL,4818351,92824.0,736393.64,0.13
52,52,5/10/2021,PRNT,CARPENTER TECHNOLOGY,CRS,144285103,16742.0,692281.7,0.13
53,53,5/10/2021,PRNT,HEXCEL CORP,HXL,428291108,12459.0,678267.96,0.12
54,54,5/10/2021,PRNT,SANDVIK AB,SAND,B1VQ252,24882.0,684039.18,0.12
55,55,5/10/2021,PRNT,PYROGENESIS CANADA INC,PYR,B43JTF9,132321.0,624675.04,0.11
