,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/5/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3514949.0,666750675.81,7.34
1,1,3/5/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,1029462.0,475168775.34,5.23
2,2,3/5/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3656110.0,444729220.4,4.9
3,3,3/5/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,14807496.0,433415407.92,4.77
4,4,3/5/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4519536.0,379686219.36,4.18
5,5,3/5/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3140901.0,369212912.55,4.07
6,6,3/5/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,8900699.0,361279372.41,3.98
7,7,3/5/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1696279.0,359577222.42,3.96
8,8,3/5/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,19407414.0,339047522.58,3.73
9,9,3/5/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3748321.0,313547051.65,3.45
10,10,3/5/2021,ARKG,CAREDX INC,CDNA,14167L103,4429937.0,285863834.61,3.15
11,11,3/5/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7602624.0,246020912.64,2.71
12,12,3/5/2021,ARKG,INCYTE CORP,INCY,45337C102,2968361.0,238240653.86,2.62
13,13,3/5/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,2022294.0,231856007.1,2.55
14,14,3/5/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,832906.0,212216119.74,2.34
15,15,3/5/2021,ARKG,ACCOLADE INC,ACCD,00437E102,4985877.0,199036209.84,2.19
16,16,3/5/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,3737229.0,197250946.62,2.17
17,17,3/5/2021,ARKG,INVITAE CORP,NVTA,46185L103,5417255.0,184945085.7,2.04
18,18,3/5/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1154830.0,179668451.4,1.98
19,19,3/5/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2579599.0,177940739.02,1.96
20,20,3/5/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7634783.0,157810964.61,1.74
21,21,3/5/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1847711.0,156667415.69,1.73
22,22,3/5/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2230496.0,155108691.84,1.71
23,23,3/5/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3449349.0,148977383.31,1.64
24,24,3/5/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5907678.0,141725195.22,1.56
25,25,3/5/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,2754216.0,137008474.92,1.51
26,26,3/5/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2218210.0,134046430.3,1.48
27,27,3/5/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1779156.0,129166725.6,1.42
28,28,3/5/2021,ARKG,CODEXIS INC,CDXS,192005106,5923172.0,115561085.72,1.27
29,29,3/5/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,2715059.0,114656941.57,1.26
30,30,3/5/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,238062.0,106382765.94,1.17
31,31,3/5/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1909767.0,98945028.27,1.09
32,32,3/5/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5290895.0,96241380.05,1.06
33,33,3/5/2021,ARKG,PHREESIA INC,PHR,71944F106,1700602.0,95114669.86,1.05
34,34,3/5/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,698414.0,94474461.78,1.04
35,35,3/5/2021,ARKG,VERACYTE INC,VCYT,92337F107,1787437.0,84921131.87,0.94
36,36,3/5/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1317265.0,83475083.05,0.92
37,37,3/5/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4202608.0,68964797.28,0.76
38,38,3/5/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1588260.0,66119263.8,0.73
39,39,3/5/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,3809302.0,61405948.24,0.68
40,40,3/5/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3114187.0,59356404.22,0.65
41,41,3/5/2021,ARKG,ABBVIE INC,ABBV,00287Y109,549518.0,58633570.6,0.65
42,42,3/5/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,7554991.0,48314167.45,0.53
43,43,3/5/2021,ARKG,CERUS CORP,CERS,157085101,7147379.0,44313749.8,0.49
44,44,3/5/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1090884.0,44889876.6,0.49
45,45,3/5/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1551984.0,43936667.04,0.48
46,46,3/5/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,5014724.0,41597135.58,0.46
47,47,3/5/2021,ARKG,908 DEVICES INC,MASS,65443P102,963134.0,39931535.64,0.44
48,48,3/5/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1291517.0,35193838.25,0.39
49,49,3/5/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,3840400.0,28803000.0,0.32
50,50,3/5/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2769185.0,21987328.9,0.24
51,51,3/5/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,4017285.0,18399165.3,0.2
52,52,3/5/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,3340755.0,16670367.45,0.18
53,53,3/5/2021,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,15313577.55,15313577.55,0.17
54,54,3/5/2021,ARKG,SEER INC,SEER,81578P106,270057.0,11690767.53,0.13
55,55,3/5/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,327976.0,3502783.68,0.04
56,56,3/5/2021,ARKG,ALPHABET INC-CL A,GOOGL,02079K305,1934.0,4055733.38,0.04
