,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,5/7/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,4026126.0,611568539.4,7.31
1,1,5/7/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,831012.0,414409064.16,4.95
2,2,5/7/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3722003.0,402013544.03,4.8
3,3,5/7/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1686748.0,359547203.68,4.3
4,4,5/7/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4015821.0,350781964.35,4.19
5,5,5/7/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,13458965.0,327860387.4,3.92
6,6,5/7/2021,ARKG,CAREDX INC,CDNA,14167L103,4450866.0,323488940.88,3.87
7,7,5/7/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3928277.0,300709604.35,3.59
8,8,5/7/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2854886.0,297764609.8,3.56
9,9,5/7/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,17641660.0,293204389.2,3.5
10,10,5/7/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,7068418.0,263864043.94,3.15
11,11,5/7/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,5879660.0,242653568.2,2.9
12,12,5/7/2021,ARKG,INCYTE CORP,INCY,45337C102,2933498.0,241456220.38,2.89
13,13,5/7/2021,ARKG,ACCOLADE INC,ACCD,00437E102,5319478.0,218577351.02,2.61
14,14,5/7/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,823116.0,212569707.0,2.54
15,15,5/7/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7345515.0,210155184.15,2.51
16,16,5/7/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1447056.0,209027239.2,2.5
17,17,5/7/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1838136.0,198224586.24,2.37
18,18,5/7/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2598181.0,174597763.2,2.09
19,19,5/7/2021,ARKG,INVITAE CORP,NVTA,46185L103,5340287.0,157324855.02,1.88
20,20,5/7/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3020275.0,144731578.0,1.73
21,21,5/7/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2549350.0,143375444.0,1.71
22,22,5/7/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2138593.0,137853704.78,1.65
23,23,5/7/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,3588058.0,131322922.8,1.57
24,24,5/7/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1758232.0,123269645.52,1.47
25,25,5/7/2021,ARKG,CODEXIS INC,CDXS,192005106,6166057.0,122211249.74,1.46
26,26,5/7/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5369651.0,115554889.52,1.38
27,27,5/7/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1735857.0,115399773.36,1.38
28,28,5/7/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,6121079.0,111832113.33,1.34
29,29,5/7/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3135220.0,94526883.0,1.13
30,30,5/7/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,690204.0,92915262.48,1.11
31,31,5/7/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1149005.0,85727263.05,1.02
32,32,5/7/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,6380088.0,76880060.4,0.92
33,33,5/7/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1158706.0,74191945.18,0.89
34,34,5/7/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,4809033.0,74684282.49,0.89
35,35,5/7/2021,ARKG,VERACYTE INC,VCYT,92337F107,1687356.0,73923066.36,0.88
36,36,5/7/2021,ARKG,908 DEVICES INC,MASS,65443P102,1397630.0,69140756.1,0.83
37,37,5/7/2021,ARKG,ABBVIE INC,ABBV,00287Y109,543079.0,63040610.32,0.75
38,38,5/7/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,2830555.0,62243904.45,0.74
39,39,5/7/2021,ARKG,UIPATH INC - CLASS A,PATH,90364P105,747819.0,51816378.51,0.62
40,40,5/7/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,2022548.0,51210915.36,0.61
41,41,5/7/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1561995.0,50546158.2,0.6
42,42,5/7/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,107000.0,50304980.0,0.6
43,43,5/7/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4191179.0,48952970.72,0.59
44,44,5/7/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1443611.0,49573601.74,0.59
45,45,5/7/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1078059.0,43963246.02,0.53
46,46,5/7/2021,ARKG,RECURSION PHARMACEUTICALS-A,RXRX,75629V104,1546166.0,43292648.0,0.52
47,47,5/7/2021,ARKG,CERUS CORP,CERS,157085101,6496427.0,38718704.92,0.46
48,48,5/7/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,6866910.0,35570593.8,0.43
49,49,5/7/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,4557974.0,33911326.56,0.41
50,50,5/7/2021,ARKG,SEER INC,SEER,81578P106,834536.0,33548347.2,0.4
51,51,5/7/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,4241571.0,31854198.21,0.38
52,52,5/7/2021,ARKG,ZYMERGEN INC,ZY,98985X100,527060.0,21735954.4,0.26
53,53,5/7/2021,ARKG,PHREESIA INC,PHR,71944F106,370189.0,17780177.67,0.21
54,54,5/7/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,3651369.0,13729147.44,0.16
55,55,5/7/2021,ARKG,CM LIFE SCIENCES II INC,,125842203,591905.0,7558626.85,0.09
56,56,5/7/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,1329165.0,7350282.45,0.09
57,57,5/7/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,1944781.0,7526302.47,0.09
58,58,5/7/2021,ARKG,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,4098854.04,4098854.04,0.05
59,59,5/7/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,298068.0,2175896.4,0.03
