,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,4/21/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3803948.0,688172232.68,7.39
1,1,4/21/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,942854.0,475594414.68,5.1
2,2,4/21/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3741849.0,470051071.38,5.04
3,3,4/21/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,14061160.0,409179756.0,4.39
4,4,4/21/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1746823.0,384580551.68,4.13
5,5,4/21/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4343174.0,381460972.42,4.09
6,6,4/21/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,2982610.0,377091382.3,4.05
7,7,4/21/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,7997699.0,336063311.98,3.61
8,8,4/21/2021,ARKG,CAREDX INC,CDNA,14167L103,4533790.0,324438012.4,3.48
9,9,4/21/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,19020822.0,320310642.48,3.44
10,10,4/21/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3836194.0,299913646.92,3.22
11,11,4/21/2021,ARKG,INCYTE CORP,INCY,45337C102,3037973.0,256921376.61,2.76
12,12,4/21/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1341272.0,242421501.28,2.6
13,13,4/21/2021,ARKG,ACCOLADE INC,ACCD,00437E102,5428106.0,240736501.1,2.58
14,14,4/21/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1920364.0,233650687.88,2.51
15,15,4/21/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7674181.0,231530040.77,2.48
16,16,4/21/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,852441.0,229178762.85,2.46
17,17,4/21/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,5318288.0,218900734.08,2.35
18,18,4/21/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2604706.0,182407561.18,1.96
19,19,4/21/2021,ARKG,INVITAE CORP,NVTA,46185L103,5144207.0,176189089.75,1.89
20,20,4/21/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2640096.0,160148223.36,1.72
21,21,4/21/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,3715857.0,149749037.1,1.61
22,22,4/21/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7249954.0,146811568.5,1.58
23,23,4/21/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2214724.0,146348961.92,1.57
24,24,4/21/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,3127825.0,146257097.0,1.57
25,25,4/21/2021,ARKG,CODEXIS INC,CDXS,192005106,6385656.0,146167665.84,1.57
26,26,4/21/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1891058.0,134832435.4,1.45
27,27,4/21/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1820857.0,129390098.42,1.39
28,28,4/21/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1813516.0,122249113.56,1.31
29,29,4/21/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3275498.0,120014246.72,1.29
30,30,4/21/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5609920.0,118425411.2,1.27
31,31,4/21/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,241514.0,116496693.04,1.25
