,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/26/2021,ARKG,TELADOC HEALTH INC,TDOC,87918A105,3746454.0,659975336.64,7.21
1,1,3/26/2021,ARKG,EXACT SCIENCES CORP,EXAS,30063P105,3685275.0,464565766.5,5.08
2,2,3/26/2021,ARKG,PACIFIC BIOSCIENCES OF CALIF,PACB,69404D108,14331454.0,437682605.16,4.78
3,3,3/26/2021,ARKG,REGENERON PHARMACEUTICALS,REGN,75886F107,940295.0,435807926.6,4.76
4,4,3/26/2021,ARKG,NOVARTIS AG-SPONSORED ADR,NVS,66987V109,4555564.0,397290736.44,4.34
5,5,3/26/2021,ARKG,TAKEDA PHARMACEUTIC-SP ADR,TAK UN,874060205,19449049.0,374005212.27,4.09
6,6,3/26/2021,ARKG,VERTEX PHARMACEUTICALS INC,VRTX,92532F100,1720419.0,365348178.84,3.99
7,7,3/26/2021,ARKG,TWIST BIOSCIENCE CORP,TWST,90184D100,3039940.0,354852196.2,3.88
8,8,3/26/2021,ARKG,ROCHE HOLDINGS LTD-SPONS ADR,RHHBY,771195104,8648248.0,351551281.2,3.84
9,9,3/26/2021,ARKG,FATE THERAPEUTICS INC,FATE,31189P102,3778198.0,296664106.96,3.24
10,10,3/26/2021,ARKG,CAREDX INC,CDNA,14167L103,4465251.0,283230870.93,3.09
11,11,3/26/2021,ARKG,INCYTE CORP,INCY,45337C102,2992052.0,238705908.56,2.61
12,12,3/26/2021,ARKG,IOVANCE BIOTHERAPEUTICS INC,IOVA,462260100,7663200.0,231811800.0,2.53
13,13,3/26/2021,ARKG,CRISPR THERAPEUTICS AG,CRSP,H17182108,1957275.0,224303715.0,2.45
14,14,3/26/2021,ARKG,IONIS PHARMACEUTICALS INC,IONS,462222100,5148990.0,218883564.9,2.39
15,15,3/26/2021,ARKG,ACCOLADE INC,ACCD,00437E102,5223502.0,213014411.56,2.33
16,16,3/26/2021,ARKG,VEEVA SYSTEMS INC-CLASS A,VEEV,922475108,839557.0,209360329.09,2.29
17,17,3/26/2021,ARKG,10X GENOMICS INC-CLASS A,TXG,88025U109,1164048.0,193476418.08,2.11
18,18,3/26/2021,ARKG,INVITAE CORP,NVTA,46185L103,5243092.0,181725568.72,1.99
19,19,3/26/2021,ARKG,SCHRODINGER INC,SDGR,80810D103,2565343.0,178111764.49,1.95
20,20,3/26/2021,ARKG,CASTLE BIOSCIENCES INC,CSTL,14843C105,2600170.0,161054529.8,1.76
21,21,3/26/2021,ARKG,PURE STORAGE INC - CLASS A,PSTG,74624M102,7389322.0,156284160.3,1.71
22,22,3/26/2021,ARKG,BEAM THERAPEUTICS INC,BEAM,07373V105,1793331.0,149456205.54,1.63
23,23,3/26/2021,ARKG,ARCTURUS THERAPEUTICS HOLDIN,ARCT UQ,03969T109,3338468.0,140716426.2,1.54
24,24,3/26/2021,ARKG,BRISTOL-MYERS SQUIBB CO,BMY,110122108,2235898.0,140392035.42,1.53
25,25,3/26/2021,ARKG,SAREPTA THERAPEUTICS INC,SRPT,803607100,1862476.0,139108332.44,1.52
26,26,3/26/2021,ARKG,CODEXIS INC,CDXS,192005106,6289129.0,132071709.0,1.44
27,27,3/26/2021,ARKG,PERSONALIS INC,PSNL,71535D106,5717757.0,127448803.53,1.39
28,28,3/26/2021,ARKG,BERKELEY LIGHTS INC,BLI,084310101,2776171.0,126176971.95,1.38
29,29,3/26/2021,ARKG,ADAPTIVE BIOTECHNOLOGIES,ADPT,00650F109,3102294.0,119996731.92,1.31
30,30,3/26/2021,ARKG,INTELLIA THERAPEUTICS INC,NTLA,45826J105,1848362.0,117297052.52,1.28
31,31,3/26/2021,ARKG,THERMO FISHER SCIENTIFIC INC,TMO,883556102,239995.0,106147388.55,1.16
32,32,3/26/2021,ARKG,CELLECTIS - ADR,CLLS,15117K103,5120788.0,100060197.52,1.09
33,33,3/26/2021,ARKG,GUARDANT HEALTH INC,GH,40131M109,703990.0,94640895.65,1.03
34,34,3/26/2021,ARKG,PHREESIA INC,PHR,71944F106,1714194.0,90989417.52,0.99
35,35,3/26/2021,ARKG,VERACYTE INC,VCYT,92337F107,1729957.0,86515149.57,0.95
36,36,3/26/2021,ARKG,NANOSTRING TECHNOLOGIES INC,NSTG,63009R109,1327791.0,85483184.58,0.93
37,37,3/26/2021,ARKG,BUTTERFLY NETWORK INC,BFLY,124155102,4572327.0,82301886.0,0.9
38,38,3/26/2021,ARKG,EDITAS MEDICINE INC,EDIT,28106W103,1537194.0,64838842.92,0.71
39,39,3/26/2021,ARKG,CM LIFE SCIENCES INC-CLASS A,CMLF,18978W109,4236147.0,60915793.86,0.67
40,40,3/26/2021,ARKG,SERES THERAPEUTICS INC,MCRB,81750R102,3014066.0,58382458.42,0.64
41,41,3/26/2021,ARKG,ABBVIE INC,ABBV,00287Y109,553908.0,57539963.04,0.63
42,42,3/26/2021,ARKG,AQUABOUNTY TECHNOLOGIES,AQB,03842K200,7312094.0,47016764.42,0.51
43,43,3/26/2021,ARKG,SIGNIFY HEALTH INC -CLASS A,SGFY,82671G100,1632894.0,44937242.88,0.49
44,44,3/26/2021,ARKG,908 DEVICES INC,MASS,65443P102,970868.0,44067698.52,0.48
45,45,3/26/2021,ARKG,1LIFE HEALTHCARE INC,ONEM,68269G107,1099592.0,42532218.56,0.46
46,46,3/26/2021,ARKG,COMPUGEN LTD,CGEN,M25722105,4853480.0,40914836.4,0.45
47,47,3/26/2021,ARKG,REPARE THERAPEUTICS INC,RPTX,760273102,1356001.0,40747830.05,0.45
48,48,3/26/2021,ARKG,CERUS CORP,CERS,157085101,6917581.0,39291860.08,0.43
49,49,3/26/2021,ARKG,SURFACE ONCOLOGY INC,SURF,86877M209,4099813.0,34028447.9,0.37
50,50,3/26/2021,ARKG,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,31404203.43,31404203.43,0.34
51,51,3/26/2021,ARKG,SEER INC,SEER,81578P106,538372.0,22471647.28,0.25
52,52,3/26/2021,ARKG,SYROS PHARMACEUTICALS INC,SYRS,87184Q107,2680137.0,22030726.14,0.24
53,53,3/26/2021,ARKG,EVOGENE LTD,EVGN,M4119S104,3888133.0,17963174.46,0.2
54,54,3/26/2021,ARKG,PLURISTEM THERAPEUTICS INC,PSTI,72940R300,2896843.0,14600088.72,0.16
55,55,3/26/2021,ARKG,ORGANOVO HOLDINGS INC,ONVO ,68620A203,317427.0,3107610.33,0.03
