,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/25/2021,ARKQ,TESLA INC,TSLA,88160R101,533505.0,336252196.35,10.59
1,1,3/25/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2418298.0,171529877.14,5.4
2,2,3/25/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,703124.0,168180229.56,5.29
3,3,3/25/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,1916285.0,151520654.95,4.77
4,4,3/25/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,63505.0,129871535.3,4.09
5,5,3/25/2021,ARKQ,TERADYNE INC,TER,880770102,1139072.0,127576064.0,4.02
6,6,3/25/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5139234.0,127093256.82,4.0
7,7,3/25/2021,ARKQ,DEERE & CO,DE,244199105,351155.0,126735351.05,3.99
8,8,3/25/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,633581.0,118657049.68,3.74
9,9,3/25/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3434476.0,103789864.72,3.27
10,10,3/25/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,191547.0,96869148.84,3.05
11,11,3/25/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,270796.0,96435871.52,3.04
12,12,3/25/2021,ARKQ,CATERPILLAR INC,CAT,149123101,384377.0,85035723.71,2.68
13,13,3/25/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,212327.0,82404108.7,2.59
14,14,3/25/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,1944896.0,71533274.88,2.25
15,15,3/25/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1874333.0,62434032.23,1.97
16,16,3/25/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,555769.0,62268358.76,1.96
17,17,3/25/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,711565.0,61550372.5,1.94
18,18,3/25/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1796808.0,61289120.88,1.93
19,19,3/25/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,258373.0,60213827.65,1.9
20,20,3/25/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,6909979.0,57905624.02,1.82
21,21,3/25/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1291778.0,53847765.93,1.7
22,22,3/25/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,3915164.0,51719316.44,1.63
23,23,3/25/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1697156.0,48878092.8,1.54
24,24,3/25/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,68031.0,48374803.17,1.52
25,25,3/25/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1382596.0,43966552.8,1.38
26,26,3/25/2021,ARKQ,VUZIX CORP,VUZI,92921W300,1771744.0,40838699.2,1.29
27,27,3/25/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,294097.0,40732434.5,1.28
28,28,3/25/2021,ARKQ,2U INC,TWOU,90214J101,1055319.0,40218207.09,1.27
29,29,3/25/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,499992.0,38404385.52,1.21
30,30,3/25/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,333426.0,36330096.96,1.14
31,31,3/25/2021,ARKQ,PACCAR INC,PCAR,693718108,384426.0,34863593.94,1.1
32,32,3/25/2021,ARKQ,ANSYS INC,ANSS,03662Q105,104621.0,34563639.77,1.09
33,33,3/25/2021,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,143719.0,32996445.21,1.04
34,34,3/25/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,351892.0,32623907.32,1.03
35,35,3/25/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,1258718.0,31027398.7,0.98
36,36,3/25/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1296837.0,30760973.64,0.97
37,37,3/25/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,2762300.0,29860463.0,0.94
38,38,3/25/2021,ARKQ,XILINX INC,XLNX,983919101,238067.0,28558517.32,0.9
39,39,3/25/2021,ARKQ,PROTO LABS INC,PRLB,743713109,227307.0,26183493.33,0.82
40,40,3/25/2021,ARKQ,ONE - CLASS A,AONE,G7000X105,2117189.0,24771111.3,0.78
41,41,3/25/2021,ARKQ,EXONE CO/THE,XONE,302104104,876225.0,24324006.0,0.77
42,42,3/25/2021,ARKQ,AUTODESK INC,ADSK,052769106,74587.0,19629806.66,0.62
43,43,3/25/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,1423663.0,14421706.19,0.45
44,44,3/25/2021,ARKQ,JAWS SPITFIRE ACQU-A,SPFR,G50740102,733313.0,7443126.95,0.23
45,45,3/25/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,173167.0,1605258.09,0.05
46,46,3/25/2021,ARKQ,MORGAN STANLEY GOVT INSTL 8035,,X9USDMORS,320550.18,320550.18,0.01
