,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,4/23/2021,ARKQ,TESLA INC,TSLA,88160R101,530833.0,382035201.77,11.52
1,1,4/23/2021,ARKQ,TRIMBLE INC,TRMB,896239100,2406182.0,195718843.88,5.9
2,2,4/23/2021,ARKQ,BAIDU INC - SPON ADR,BIDU,056752108,786725.0,168799716.0,5.09
3,3,4/23/2021,ARKQ,JD.COM INC-ADR,JD,47215P106,2141985.0,163026478.35,4.92
4,4,4/23/2021,ARKQ,ALPHABET INC-CL C,GOOG,02079K107,68759.0,155939911.28,4.7
5,5,4/23/2021,ARKQ,KRATOS DEFENSE & SECURITY,KTOS,50077B207,5718018.0,151212986.01,4.56
6,6,4/23/2021,ARKQ,NXP SEMICONDUCTORS NV,NXPI,N6596X109,581153.0,114051276.25,3.44
7,7,4/23/2021,ARKQ,DEERE & CO,DE,244199105,304844.0,112292335.84,3.39
8,8,4/23/2021,ARKQ,TERADYNE INC,TER,880770102,861050.0,108767836.0,3.28
9,9,4/23/2021,ARKQ,KOMATSU LTD -SPONS ADR,KMTUY,500458401,3417265.0,101253903.68,3.05
10,10,4/23/2021,ARKQ,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,2470434.0,92764796.7,2.8
11,11,4/23/2021,ARKQ,LOCKHEED MARTIN CORP,LMT,539830109,243669.0,92616150.21,2.79
12,12,4/23/2021,ARKQ,TELEDYNE TECHNOLOGIES INC,TDY,879360105,211263.0,92459251.95,2.79
13,13,4/23/2021,ARKQ,NVIDIA CORP,NVDA,67066G104,139151.0,82657085.51,2.49
14,14,4/23/2021,ARKQ,CATERPILLAR INC,CAT,149123101,323504.0,74046830.56,2.23
15,15,4/23/2021,ARKQ,NIU TECHNOLOGIES-SPONS ADR,NIU,65481N100,1970252.0,72662893.76,2.19
16,16,4/23/2021,ARKQ,MAGNA INTERNATIONAL INC,MGA,559222401,708001.0,67543295.4,2.04
17,17,4/23/2021,ARKQ,3D SYSTEMS CORP,DDD,88554D205,2872277.0,61983737.66,1.87
18,18,4/23/2021,ARKQ,NANO DIMENSION LTD - ADR,NNDM,63008G203,8511531.0,61708599.75,1.86
19,19,4/23/2021,ARKQ,WORKHORSE GROUP INC,WKHS,98138J206,4763597.0,60378591.98,1.82
20,20,4/23/2021,ARKQ,UNITY SOFTWARE INC,U,91332U101,567306.0,57808481.4,1.74
21,21,4/23/2021,ARKQ,BYD CO LTD-UNSPONSORED ADR,BYDDY,05606L100,1235992.0,56324155.44,1.7
22,22,4/23/2021,ARKQ,MATERIALISE NV-ADR,MTLS,57667T100,1758873.0,56020105.05,1.69
23,23,4/23/2021,ARKQ,AEROVIRONMENT INC,AVAV,008073108,496757.0,53898134.5,1.63
24,24,4/23/2021,ARKQ,RAVEN INDUSTRIES INC,RAVN,754212108,1375667.0,53733553.02,1.62
25,25,4/23/2021,ARKQ,VUZIX CORP,VUZI,92921W300,2086641.0,45655705.08,1.38
26,26,4/23/2021,ARKQ,INTUITIVE SURGICAL INC,ISRG,46120E602,49918.0,42912507.88,1.29
27,27,4/23/2021,ARKQ,ELBIT SYSTEMS LTD,ESLT,M3760D101,292620.0,40969726.2,1.24
28,28,4/23/2021,ARKQ,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,497487.0,40241723.43,1.21
29,29,4/23/2021,ARKQ,2U INC,TWOU,90214J101,1033042.0,39761786.58,1.2
30,30,4/23/2021,ARKQ,ANSYS INC,ANSS,03662Q105,104097.0,37975626.57,1.15
31,31,4/23/2021,ARKQ,VIRGIN GALACTIC HOLDINGS INC,SPCE,92766K106,1746723.0,37938823.56,1.14
32,32,4/23/2021,ARKQ,SYNOPSYS INC,SNPS,871607107,146528.0,36369714.88,1.1
33,33,4/23/2021,ARKQ,PACCAR INC,PCAR,693718108,382498.0,35268228.09,1.06
34,34,4/23/2021,ARKQ,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,142995.0,32795903.25,0.99
35,35,4/23/2021,ARKQ,STRATASYS LTD,SSYS,M85548101,1269457.0,29108649.01,0.88
36,36,4/23/2021,ARKQ,TUSIMPLE HOLDINGS INC - A,TSP,90089L108,720364.0,27409850.2,0.83
37,37,4/23/2021,ARKQ,EXPERIENCE INVESTMENT CORP-A,EXPC,30217C109,2748455.0,27484550.0,0.83
38,38,4/23/2021,ARKQ,PROTO LABS INC,PRLB,743713109,222504.0,24190634.88,0.73
39,39,4/23/2021,ARKQ,JAWS SPITFIRE ACQUISITION-A,SPFR,G50740102,2185111.0,22288132.2,0.67
40,40,4/23/2021,ARKQ,ONE - CLASS A,AONE,G7000X105,2106580.0,21360721.2,0.64
41,41,4/23/2021,ARKQ,AUTODESK INC,ADSK,052769106,74211.0,21372768.0,0.64
42,42,4/23/2021,ARKQ,EXONE CO/THE,XONE,302104104,857726.0,19504689.24,0.59
43,43,4/23/2021,ARKQ,ATLAS CREST INVESTMENT COR-A,ACIC,049284102,1639422.0,16263066.24,0.49
44,44,4/23/2021,ARKQ,UIPATH INC - CLASS A,PATH,90364P105,187503.0,14156476.5,0.43
45,45,4/23/2021,ARKQ,DREYFUS GOVT CASH MAN INS,,X9USDDGCM,10519313.26,10519313.26,0.32
46,46,4/23/2021,ARKQ,ORGANOVO HOLDINGS INC,ONVO ,68620A203,169505.0,1550970.75,0.05
47,47,4/23/2021,ARKQ,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,5315.0,612925.8,0.02
48,48,4/23/2021,ARKQ,XILINX INC,XLNX,983919101,2388.0,293915.04,0.01
