,Unnamed: 0,date,fund,company,ticker,cusip,shares,market value($),weight(%)
0,0,3/24/2021,ARKF,SQUARE INC - A,SQ,852234103,1858903.0,414907149.6,10.02
1,1,3/24/2021,ARKF,PAYPAL HOLDINGS INC,PYPL,70450Y103,923115.0,225027743.55,5.43
2,2,3/24/2021,ARKF,SILVERGATE CAPITAL CORP-CL A,SI,82837P408,1334922.0,189185145.84,4.57
3,3,3/24/2021,ARKF,ZILLOW GROUP INC - C,Z,98954M200,1397835.0,187994829.15,4.54
4,4,3/24/2021,ARKF,INTERCONTINENTAL EXCHANGE IN,ICE,45866F104,1461813.0,163211421.45,3.94
5,5,3/24/2021,ARKF,TENCENT HOLDINGS LTD-UNS ADR,TCEHY,88032Q109,1874381.0,151693654.33,3.66
6,6,3/24/2021,ARKF,SHOPIFY INC - CLASS A,SHOP,82509L107,129680.0,150688160.0,3.64
7,7,3/24/2021,ARKF,PINTEREST INC- CLASS A,PINS,72352L106,2104142.0,149899076.08,3.62
8,8,3/24/2021,ARKF,SEA LTD-ADR,SE,81141R100,674999.0,146231783.36,3.53
9,9,3/24/2021,ARKF,ADYEN NV,ADYEN,BZ1HM42,57750.0,132744463.8,3.2
10,10,3/24/2021,ARKF,YEAHKA LTD,9923,BL58D39,12756000.0,124161969.38,3.0
11,11,3/24/2021,ARKF,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,496327.0,117962038.09,2.85
12,12,3/24/2021,ARKF,MERCADOLIBRE INC,MELI,58733R102,78678.0,113819528.7,2.75
13,13,3/24/2021,ARKF,ZHONGAN ONLINE P&C INSURAN-H,6060,BYZQ099,17375326.0,112749801.13,2.72
14,14,3/24/2021,ARKF,OPENDOOR TECHNOLOGIES INC,OPEN,683712103,4325480.0,110818797.6,2.68
15,15,3/24/2021,ARKF,TWILIO INC - A,TWLO,90138F102,294486.0,104371728.12,2.52
16,16,3/24/2021,ARKF,SNAP INC - A,SNAP,83304A106,1880921.0,103939694.46,2.51
17,17,3/24/2021,ARKF,MEITUAN-CLASS B,3690,BGJW376,2291982.0,89650199.13,2.16
18,18,3/24/2021,ARKF,FACEBOOK INC-CLASS A,FB,30303M102,307540.0,89380350.2,2.16
19,19,3/24/2021,ARKF,WORKDAY INC-CLASS A,WDAY,98138H101,326033.0,83917633.87,2.03
20,20,3/24/2021,ARKF,DOCUSIGN INC,DOCU,256163106,398922.0,82959819.12,2.0
21,21,3/24/2021,ARKF,APPLE INC,AAPL,037833100,672991.0,82468317.14,1.99
22,22,3/24/2021,ARKF,AMAZON.COM INC,AMZN,023135106,24592.0,77157400.0,1.86
23,23,3/24/2021,ARKF,INTUIT INC,INTU,461202103,199164.0,76319644.8,1.84
24,24,3/24/2021,ARKF,TCS GROUP HOLDING-GDR REG S,TCS LI,87238U203,1341620.0,75801530.0,1.83
25,25,3/24/2021,ARKF,Z HOLDINGS CORP,4689,6084848,14377530.0,74936626.54,1.81
26,26,3/24/2021,ARKF,JD.COM INC-ADR,JD,47215P106,809912.0,67635751.12,1.63
27,27,3/24/2021,ARKF,TELADOC HEALTH INC,TDOC,87918A105,282352.0,54702876.48,1.32
28,28,3/24/2021,ARKF,KE HOLDINGS INC,BEKE,482497104,845840.0,51308654.4,1.24
29,29,3/24/2021,ARKF,PING AN HEALTHCARE AND TECHN,1833,BDRYVB3,4019900.0,50126474.53,1.21
30,30,3/24/2021,ARKF,DISCOVERY LTD,DSY,6177878,5461202.0,49903566.94,1.2
31,31,3/24/2021,ARKF,PINDUODUO INC-ADR,PDD,722304102,352575.0,47971354.5,1.16
32,32,3/24/2021,ARKF,LENDINGCLUB CORP,LC,52603A208,2381906.0,47519024.7,1.15
33,33,3/24/2021,ARKF,SCHWAB (CHARLES) CORP,SCHW,808513105,710039.0,44988071.04,1.09
34,34,3/24/2021,ARKF,DRAFTKINGS INC - CL A,DKNG,26142R104,641103.0,44716934.25,1.08
35,35,3/24/2021,ARKF,HDFC BANK LTD-ADR,HDB,40415F101,545018.0,43149075.06,1.04
36,36,3/24/2021,ARKF,GUIDEWIRE SOFTWARE INC,GWRE,40171V100,407792.0,41611095.68,1.0
37,37,3/24/2021,ARKF,NVIDIA CORP,NVDA,67066G104,78950.0,41277428.5,1.0
38,38,3/24/2021,ARKF,BASE INC,4477,BKRQ8Q2,454900.0,35193737.05,0.85
39,39,3/24/2021,ARKF,LENDINGTREE INC,TREE UW,52603B107,154879.0,34201929.57,0.83
40,40,3/24/2021,ARKF,BILL.COM HOLDINGS INC,BILL,090043100,139118.0,21653716.7,0.52
41,41,3/24/2021,ARKF,MARKETAXESS HOLDINGS INC,MKTX,57060D108,33078.0,17402997.36,0.42
42,42,3/24/2021,ARKF,JSC KASPI.KZ GDR-REG S,KSPI,BMXZ8G7,152170.0,11519269.0,0.28
43,43,3/24/2021,ARKF,SPLUNK INC,SPLK,848637104,6309.0,872029.98,0.02
44,44,3/24/2021,ARKF,LIGHTSPEED POS INC-SUB VOTE,LSPD,BGHVW01,8824.0,564707.95,0.01
45,45,3/24/2021,ARKF,VERISK ANALYTICS INC,VRSK,92345Y106,2568.0,456051.12,0.01
